序号,按音序排列,检字表,题型,子题型,题目,答案,选项一,选项二,选项三,选项四
414,H,诨,选择题,4选1,插科打诨,诨,诨,浑,混,涽
416,J,迹,选择题,4选1,模范事迹,迹,迹,绩,剂,记
417,J,积,选择题,4选1,处心积虑,积,集,积,及,机
419,J,缉,选择题,4选1,通缉,缉,辑,缉,偮,集
421,J,稽,选择题,4选1,无稽之谈,稽,稽,计,讥,机
422,J,激,选择题,4选1,激浊扬清,激,激,击,急,极
431,J,疾,选择题,4选1,疾恶如仇,疾,急,嫉,极,疾
432,J,疾,选择题,4选1,疾言厉色,疾,急,嫉,极,疾
434,J,疾,选择题,4选1,痛心疾首,疾,嫉,疾,急,极
435,J,疾,选择题,4选1,振笔疾书,疾,嫉,极,疾,急
439,J,掎,选择题,4选1,掎角之势,掎,奇,掎,崎,骑
440,J,计,选择题,4选1,不计其数,计,计,记,纪,级
441,J,伎,选择题,4选1,鬼蜮伎俩,伎,技,伎,计,记
442,J,忌,选择题,4选1,投鼠忌器,忌,忌,计,记,技
443,J,既,选择题,4选1,既往不究,既,继,既,及,即
444,J,既,选择题,4选1,一如既往,既,既,继,及,即
446,J,济,选择题,4选1,无济于事,济,计,济,机,技
447,J,继,选择题,4选1,焚膏继晷,继,继,及,即,既
448,J,继,选择题,4选1,继往开来,继,既,及,即,继
452,J,贾,选择题,4选1,余勇可贾,贾,沽,贾,估,鼓
466,J,减,选择题,4选1,偷工减料,减,简,减,捡,拣
467,J,简,选择题,4选1,精兵简政,简,减,简,捡,拣
470,J,鉴,选择题,4选1,可资借鉴,鉴,戒,鉴,笺,践
471,J,鉴,选择题,4选1,前车之鉴,鉴,戒,鉴,笺,践
473,J,矫,选择题,4选1,矫揉造作,矫,娇,矫,姣,骄
487,J,禁,选择题,4选1,弱不禁风,禁,禁,经,劲,尽
488,J,禁,选择题,4选1,情不自禁,禁,禁,经,劲,尽
493,J,儆,选择题,4选1,惩一儆百,儆,禁,儆,敬,警
497,J,境,选择题,4选1,事过境迁,境,景,境,镜,静
499,J,赳,选择题,4选1,雄赳赳,赳赳,纠纠,赳赳,揪揪,啾啾
504,J,倨,选择题,4选1,前倨后恭,倨,踞,倨,据,剧
505,J,踞,选择题,4选1,龙盘虎踞,踞,踞,据,剧,据
506,J,决,选择题,4选1,决不罢休,决,绝,决,诀,倔
511,J,崛,选择题,4选1,文笔奇崛,崛,崛,倔,掘,剧
512,J,厥,选择题,4选1,大放厥词,厥,厥,獗,撅,噘
513,J,蹶,选择题,4选1,一蹶不振,蹶,蹶,獗,厥,撅
519,K,亢,选择题,4选1,不卑不亢,亢,亢,吭,坑,阬
528,K,篑,选择题,4选1,功亏一篑,篑,蒉,篑,溃,馈
529,K,聩,选择题,4选1,昏聩无能,聩,馈,聩,溃,篑
533,L,谰,选择题,4选1,无耻谰言,谰,滥,谰,烂,澜
534,L,斓,选择题,4选1,五色斑斓,斓,斓,澜,谰,岚
535,L,斓,选择题,4选1,五彩斑斓,斓,斓,澜,谰,岚
537,L,滥,选择题,4选1,陈词滥调,滥,烂,滥,褴,漤
538,L,滥,选择题,4选1,粗制滥造,滥,烂,滥,褴,漤
539,L,滥,选择题,4选1,滥竽充数,滥,烂,滥,褴,漤
540,L,滥,选择题,4选1,宁缺毋滥,滥,滥,烂,褴,漤
545,L,礼,选择题,4选1,彬彬有礼,礼,理,礼,里,厘
546,L,礼,选择题,4选1,分庭抗礼,礼,礼,里,厘,理
547,L,礼,选择题,4选1,先礼后兵,礼,理,里,厘,礼
549,L,里,选择题,4选1,鞭辟入里,里,理,里,厘,哩
550,L,理,选择题,4选1,强词夺理,理,礼,厘,哩,理
557,L,力,选择题,4选1,水力发电,力,力,利,立,历
562,L,厉,选择题,4选1,变本加厉,厉,厉,历,利,立
563,L,厉,选择题,4选1,雷厉风行,厉,历,厉,利,立
564,L,厉,选择题,4选1,厉兵秣马,厉,厉,历,励,立
565,L,厉,选择题,4选1,厉行节约,厉,励,历,厉,立
566,L,厉,选择题,4选1,铺张扬厉,厉,利,历,厉,立
567,L,厉,选择题,4选1,再接再厉,厉,励,厉,历,立
568,L,励,选择题,4选1,励精图治,励,厉,历,励,立
569,L,沥,选择题,4选1,披肝沥胆,沥,厉,历,沥,立
572,L,栗,选择题,4选1,不寒而栗,栗,立,栗,粟,立
586,L,缭,选择题,4选1,眼花缭乱,缭,缭,撩,燎,瞭
587,L,邻,选择题,4选1,毗邻,邻,邻,临,岭,令
600,L,伦,选择题,4选1,无与伦比,伦,伦,论,轮,仑
601,L,伦,选择题,4选1,语无伦次,伦,论,轮,仑,伦
602,L,纶,选择题,4选1,羽扇纶巾,纶,纶,论,仑,伦
603,L,轮,选择题,4选1,美轮美奂,轮,轮,纶,论,仑
604,L,论,选择题,4选1,论功行赏,论,轮,纶,仑,论
606,M,谩,选择题,4选1,无礼谩骂,谩,漫,谩,慢,曼
607,M,慢,选择题,4选1,慢条斯理,慢,漫,谩,慢,曼
608,M,漫,选择题,4选1,漫不经心,漫,慢,谩,漫,曼
614,M,懵,选择题,4选1,懵懂无知,懵,懵,朦,蒙,萌
618,M,糜,选择题,4选1,糜烂不堪,糜,糜,靡,麋,蘼
619,M,縻,选择题,4选1,羁縻,縻,靡,縻,麋,蘼
620,M,靡,选择题,4选1,奢靡,靡,靡,糜,麋,蘼
621,M,靡,选择题,4选1,望风披靡,靡,靡,糜,麋,蘼
622,M,靡,选择题,4选1,靡日不思,靡,糜,靡,麋,蘼
623,M,靡,选择题,4选1,靡靡之音,靡靡,靡靡,糜糜,麋麋,蘼蘼
624,M,靡,选择题,4选1,天下靡然,靡,靡,糜,麋,蘼
625,M,靡,选择题,4选1,风靡一时,靡,糜,靡,麋,蘼
626,M,靡,选择题,4选1,萎靡不振,靡,靡,糜,麋,蘼
643,M,鸣,选择题,4选1,自鸣得意,鸣,鸣,铭,明,名
644,M,冥,选择题,4选1,冥思苦想,冥,冥,瞑,溟,暝
645,M,冥,选择题,4选1,苦思冥想,冥,冥,瞑,溟,暝
647,M,瞑,选择题,4选1,死不瞑目,瞑,瞑,冥,溟,暝
649,M,摹,选择题,4选1,描摹,摹,模,摹,膜,摩
650,M,摹,选择题,4选1,临摹书法,摹,摩,模,膜,摹
666,O,瓯,选择题,4选1,金瓯无缺,瓯,沤,瓯,呕,殴
667,O,呕,选择题,4选1,呕心沥血,呕,沤,呕,瓯,殴
671,P,炮,选择题,4选1,如法炮制,炮,泡,炮,刨,疱
676,P,剽,选择题,4选1,剽悍,剽,剽,骠,瞟,飚
678,P,平,选择题,4选1,平心而论,平,平,凭,评,屏
723,R,融,选择题,4选1,水乳交融,融,溶,融,荣,容
725,R,揉,选择题,4选1,矫揉造作,揉,揉,糅,柔,蹂
726,R,糅,选择题,4选1,古今杂糅,糅,糅,揉,柔,蹂
727,R,茹,选择题,4选1,含辛茹苦,茹,茹,如,汝,侞
730,R,缛,选择题,4选1,繁文缛节,缛,溽,缛,褥,辱
825,T,唾,选择题,4选1,唾手可得,唾,捶,锤,垂,唾
834,W,围,选择题,4选1,腰围,围,位,围,维,尾
835,W,围,选择题,4选1,氛围,围,位,围,维,尾
836,W,唯,选择题,4选1,唯我独尊,唯,为,帷,维,唯
838,W,帷,选择题,4选1,帷幕,帷,惟,帷,维,唯
839,W,惟,选择题,4选1,惟命是从,惟,惟,帷,维,为
840,W,惟,选择题,4选1,惟妙惟肖,惟惟,惟惟,帷帷,维维,唯唯
841,W,维,选择题,4选1,维系人心,维,惟,帷,维,唯
842,W,维,选择题,4选1,变化维新,维,惟,帷,维,唯
843,W,维,选择题,4选1,维护,维,惟,帷,维,唯
844,W,维,选择题,4选1,三维,维,惟,帷,维,唯
845,W,维,选择题,4选1,维新变法,维,惟,帷,维,唯
846,W,尾,选择题,4选1,畏首畏尾,尾,委,韦,尾,诿
847,W,尾,选择题,4选1,接近尾声,尾,委,韦,尾,诿
848,W,委,选择题,4选1,穷原竟委,委,委,韦,尾,诿
849,W,委,选择题,4选1,委决不下,委,委,韦,萎,诿
850,W,娓,选择题,4选1,娓娓而谈,娓娓,围围,维维,娓娓,尾尾
851,W,诿,选择题,4选1,互相推诿,诿,委,韦,萎,诿
852,W,萎,选择题,4选1,百花萎谢,萎,委,韦,萎,诿
853,W,蔚,选择题,4选1,蔚为大观,蔚,慰,蔚,尉,味
854,W,蔚,选择题,4选1,蔚蓝,蔚,慰,蔚,尉,味
855,W,蔚,选择题,4选1,蔚然成风,蔚,慰,蔚,尉,味
856,W,慰,选择题,4选1,欣慰,慰,慰,蔚,尉,味
857,W,慰,选择题,4选1,慰问,慰,慰,蔚,尉,味
858,W,慰,选择题,4选1,聊以自慰,慰,慰,蔚,尉,味
859,W,慰,选择题,4选1,告慰,慰,慰,蔚,尉,味
893,X,向,选择题,4选1,人心向背,向,项,像,象,向
900,X,销,选择题,4选1,吊销执照,销,销,消,霄,肖
901,X,销,选择题,4选1,积毁销骨,销,消,削,肖,销
914,X,心,选择题,4选1,别出心裁,心,新,心,兴,芯
915,X,兴,选择题,4选1,望洋兴叹,兴,心,兴,新,信
924,X,绪,选择题,4选1,茫无头绪,绪,绪,序,续,徐
925,X,绪,选择题,4选1,千头万绪,绪,序,绪,续,徐
926,X,轩,选择题,4选1,轩然大波,轩,轩,喧,宣,渲
927,X,宣,选择题,4选1,宣泄,宣,宣,渲,暄,喧
928,X,宣,选择题,4选1,无法宣泄,宣,宣,渲,暄,喧
929,X,宣,选择题,4选1,宣化,宣,宣,渲,暄,喧
930,X,宣,选择题,4选1,宣告,宣,宣,渲,暄,喧
931,X,宣,选择题,4选1,宣读,宣,宣,渲,暄,喧
932,X,宣,选择题,4选1,宣传,宣,宣,渲,暄,喧
933,X,喧,选择题,4选1,锣鼓喧天,喧,宣,渲,暄,喧
934,X,喧,选择题,4选1,喧哗,喧,宣,渲,暄,喧
935,X,喧,选择题,4选1,喧嚣一时,喧,宣,渲,暄,喧
936,X,喧,选择题,4选1,喧宾夺主,喧,宣,渲,暄,喧
937,X,暄,选择题,4选1,寒暄,暄,宣,渲,暄,喧
938,X,眩,选择题,4选1,令人目眩,眩,眩,炫,玄,铉
939,X,渲,选择题,4选1,渲染,渲,宣,渲,暄,喧
940,X,寻,选择题,4选1,寻章摘句,寻,循,寻,旬,询
941,X,徇,选择题,4选1,徇情枉法,徇,殉,徇,旬,询
942,X,殉,选择题,4选1,以身殉国,殉,徇,殉,旬,询
943,Y,揠,选择题,4选1,揠苗助长,揠,偃,揠,堰,匽
945,Y,湮,选择题,4选1,湮没无闻,湮,淹,湮,演,沿
946,Y,言,选择题,4选1,察言观色,言,颜,言,沿,延
947,Y,沿,选择题,4选1,沿袭成规,沿,沿,延,演,言
948,Y,颜,选择题,4选1,和颜悦色,颜,颜,言,艳,延
951,Y,泱,选择题,4选1,泱泱大国,泱泱,央央,泱泱,殃殃,秧秧
952,Y,殃,选择题,4选1,祸国殃民,殃,殃,秧,泱,央
953,Y,洋,选择题,4选1,洋洋洒洒,洋洋,洋洋,扬扬,羊羊,阳阳
954,Y,谣,选择题,4选1,歌谣,谣,谣,摇,瑶,遥
955,Y,谣,选择题,4选1,谣传,谣,谣,摇,瑶,遥
956,Y,摇,选择题,4选1,招摇撞骗,摇,谣,摇,瑶,遥
957,Y,摇,选择题,4选1,摇摇欲坠,摇摇,谣谣,摇摇,瑶瑶,遥遥
958,Y,摇,选择题,4选1,摇唇鼓舌,摇,谣,摇,瑶,遥
959,Y,摇,选择题,4选1,动摇,摇,谣,摇,瑶,遥
960,Y,摇,选择题,4选1,人心摇惑,摇,谣,摇,瑶,遥
961,Y,摇,选择题,4选1,扶摇直上,摇,谣,摇,瑶,遥
962,Y,遥,选择题,4选1,遥远,遥,谣,摇,瑶,遥
963,Y,遥,选择题,4选1,遥遥无期,遥遥,谣谣,摇摇,瑶瑶,遥遥
964,Y,遥,选择题,4选1,千里之遥,遥,谣,摇,瑶,遥
965,Y,遥,选择题,4选1,遥相呼应,遥,谣,摇,瑶,遥
966,Y,遥,选择题,4选1,遥控,遥,谣,摇,瑶,遥
967,Y,瑶,选择题,4选1,瑶池,瑶,谣,摇,瑶,遥
973,Y,伊,选择题,4选1,下车伊始,伊,一,伊,以,宜
975,Y,怡,选择题,4选1,怡然自得,怡,贻,饴,宜,怡
976,Y,怡,选择题,4选1,心旷神怡,怡,饴,贻,宜,怡
977,Y,饴,选择题,4选1,甘之如饴,饴,怡,贻,宜,饴
980,Y,遗,选择题,4选1,不遗余力,遗,遗,贻,以,仪
981,Y,倚,选择题,4选1,倚仗权势,倚,倚,依,以,仪
982,Y,倚,选择题,4选1,倚老卖老,倚,以,倚,已,易
983,Y,义,选择题,4选1,断章取义,义,意,义,议,异
984,Y,义,选择题,4选1,深明大义,义,意,义,议,异
985,Y,义,选择题,4选1,天经地义,义,仪,意,义,异
986,Y,义,选择题,4选1,忘恩负义,义,义,意,议,异
987,Y,义,选择题,4选1,微言大义,义,义,意,议,异
988,Y,义,选择题,4选1,义正词严,义,意,义,议,易
989,Y,义,选择题,4选1,毫无疑义,义,异,意,义,议
990,Y,义,选择题,4选1,正义,义,异,意,义,议
991,Y,义,选择题,4选1,言不及义,义,异,意,义,议
992,Y,义,选择题,4选1,义无反顾,义,异,意,义,议
993,Y,忆,选择题,4选1,回忆,忆,忆,意,义,议
994,Y,议,选择题,4选1,商议,议,异,意,义,议
995,Y,议,选择题,4选1,议题,议,异,意,义,议
996,Y,议,选择题,4选1,议定,议,异,意,义,议
997,Y,议,选择题,4选1,议而不决,议,异,意,义,议
998,Y,议,选择题,4选1,不可思议,议,异,意,义,议
999,Y,异,选择题,4选1,变异,异,异,意,义,议
1000,Y,异,选择题,4选1,异口同声,异,异,意,义,议
1001,Y,异,选择题,4选1,异想天开,异,异,意,义,议
1002,Y,易,选择题,4选1,不易之论,易,异,意,易,议
1003,Y,绎,选择题,4选1,演绎推理,绎,译,绎,泽,择
1006,Y,益,选择题,4选1,多多益善,益,益,溢,义,议
1007,Y,益,选择题,4选1,集思广益,益,益,溢,义,议
1008,Y,逸,选择题,4选1,一劳永逸,逸,逸,易,异,依
1009,Y,意,选择题,4选1,意气风发,意,异,意,义,议
1010,Y,意,选择题,4选1,意在言外,意,异,意,义,议
1011,Y,意,选择题,4选1,差强人意,意,异,意,义,议
1012,Y,意,选择题,4选1,刻意追求,意,异,意,义,议
1013,Y,意,选择题,4选1,出其不意,意,异,意,义,议
1014,Y,意,选择题,4选1,意向,意,异,意,义,议
1015,Y,意,选择题,4选1,大意,意,异,意,义,议
1019,Y,溢,选择题,4选1,溢美之词,溢,益,溢,义,议
1020,Y,溢,选择题,4选1,飘溢,溢,益,溢,义,议
1022,Y,熠,选择题,4选1,熠熠生辉,熠熠,益益,溢溢,熠熠,奕奕
1023,Y,臆,选择题,4选1,臆断,臆,臆,意,义,议
1028,Y,喑,选择题,4选1,万马齐喑,喑,喑,暗,谙,黯
1041,Y,勇,选择题,4选1,勇往直前,勇,永,踊,涌,勇
1042,Y,踊,选择题,4选1,踊跃报名,踊,踊,涌,拥,勇
1044,Y,忧,选择题,4选1,杞人忧天,忧,悠,忧,幽,犹
1045,Y,忧,选择题,4选1,忧虑,忧,悠,忧,优,犹
1046,Y,攸,选择题,4选1,生死攸关,攸,悠,攸,优,犹
1047,Y,攸,选择题,4选1,利害攸关,攸,悠,攸,优,犹
1048,Y,幽,选择题,4选1,幽禁,幽,悠,忧,幽,犹
1049,Y,幽,选择题,4选1,幽深,幽,悠,忧,幽,犹
1050,Y,幽,选择题,4选1,幽怨,幽,悠,忧,幽,犹
1051,Y,幽,选择题,4选1,幽幽啜泣,幽幽,幽幽,忧忧,优优,犹犹
1052,Y,悠,选择题,4选1,悠荡,悠,悠,攸,优,犹
1053,Y,忧,选择题,4选1,忧伤,忧,悠,忧,优,犹
1054,Y,悠,选择题,4选1,岁月悠长,悠,悠,忧,幽,犹
1060,Y,犹,选择题,4选1,记忆犹新,犹,犹,尤,龙,优
1064,Y,娱,选择题,4选1,娱乐,娱,愉,逾,娱,瑜
1066,Y,隅,选择题,4选1,向隅而泣,隅,偶,隅,耦,榆
1067,Y,愉,选择题,4选1,愉悦,愉,愉,逾,揄,瑜
1068,Y,揄,选择题,4选1,揶揄,揄,愉,逾,揄,瑜
1069,Y,揄,选择题,4选1,揄扬大义,揄,愉,逾,揄,瑜
1070,Y,逾,选择题,4选1,欣喜逾常,逾,愉,逾,揄,瑜
1071,Y,逾,选择题,4选1,不可逾越,逾,愉,逾,揄,瑜
1072,Y,瑜,选择题,4选1,瑜伽,瑜,愉,逾,揄,瑜
1073,Y,瑜,选择题,4选1,瑕不掩瑜,瑜,愉,逾,喻,瑜
1077,Y,喻,选择题,4选1,喻之以理,喻,愉,逾,喻,瑜
1078,Y,寓,选择题,4选1,寓意深长,寓,寓,逾,喻,瑜
1087,Y,纭,选择题,4选1,纷纭,纭,云,蕴,酝,纭
1090,Y,孕,选择题,4选1,孕育,孕,韵,蕴,酝,孕
1091,Y,孕,选择题,4选1,水稻孕穗,孕,韵,蕴,酝,孕
1092,Y,酝,选择题,4选1,酝酿,酝,韵,蕴,酝,孕
1093,Y,愠,选择题,4选1,愠色,愠,愠,蕴,揾,孕
1094,Y,韵,选择题,4选1,韵味古朴,韵,韵,蕴,酝,孕
1095,Y,韵,选择题,4选1,韵致,韵,韵,蕴,酝,孕
1096,Y,蕴,选择题,4选1,蕴蓄,蕴,韵,蕴,酝,孕
1097,Y,蕴,选择题,4选1,蕴藏,蕴,韵,蕴,酝,孕
1055,Y,悠,选择题,4选1,悠悠长夜,悠悠,悠悠,忧忧,优优,犹犹
1106,Z,咋,选择题,4选1,令人咋舌,咋,乍,咋,诈,拃
1107,Z,诈,选择题,4选1,敲诈勒索,诈,诈,榨,渣,拃
1111,Z,张,选择题,4选1,改弦更张,张,章,张,嶂,障
1112,Z,彰,选择题,4选1,欲盖弥彰,彰,章,彰,嶂,障
1113,Z,涨,选择题,4选1,涨红了脸,涨,胀,涨,账,仗
1114,Z,涨,选择题,4选1,头昏脑涨,涨,胀,涨,账,仗
1119,Z,嶂,选择题,4选1,层峦叠嶂,嶂,嶂,障,章,瘴
1120,Z,瘴,选择题,4选1,乌烟瘴气,瘴,瘴,脏,章,嶂
1121,Z,招,选择题,4选1,招摇撞骗,招,招,造,召,昭
1122,Z,昭,选择题,4选1,昭然若揭,昭,照,昭,招,召
1134,Z,争,选择题,4选1,争执,争,挣,争,睁,铮
1135,Z,争,选择题,4选1,争论,争,挣,争,睁,铮
1136,Z,争,选择题,4选1,意气之争,争,挣,争,睁,铮
1137,Z,征,选择题,4选1,旁征博引,征,征,证,政,怔
1138,Z,挣,选择题,4选1,挣扎,挣,挣,争,睁,铮
1139,Z,睁,选择题,4选1,眼睁睁,睁睁,挣挣,争争,睁睁,铮铮
1140,Z,铮,选择题,4选1,铮铮悦耳,铮铮,挣挣,争争,睁睁,铮铮
1143,Z,之,选择题,4选1,安之若素,之,之,置,制,至
1148,Z,至,选择题,4选1,精诚所至,至,致,至,制,置
1149,Z,至,选择题,4选1,仁至义尽,至,至,致,制,置
1150,Z,至,选择题,4选1,无所不至,至,致,至,制,置
1151,Z,制,选择题,4选1,出奇制胜,制,致,制,至,置
1152,Z,制,选择题,4选1,后发制人,制,治,制,至,置
1153,Z,制,选择题,4选1,如法炮制,制,制,治,至,置
1154,Z,制,选择题,4选1,因地制宜,制,治,制,至,置
1155,Z,制,选择题,4选1,先发制人,制,制,治,至,置
1159,Z,致,选择题,4选1,专心致志,致,致,志,置,至
1160,Z,致,选择题,4选1,闲情逸致,致,志,置,至,致
1161,Z,置,选择题,4选1,推心置腹,置,置,至,志,致
1162,Z,忠,选择题,4选1,忠言相告,忠,衷,忠,中,钟
1163,Z,忠,选择题,4选1,忠诚,忠,衷,忠,中,钟
1164,Z,忠,选择题,4选1,忠心耿耿,忠,衷,忠,中,钟
1165,Z,忠,选择题,4选1,一心效忠,忠,衷,忠,中,钟
1166,Z,钟,选择题,4选1,老态龙钟,钟,钟,肿,中,忠
1167,Z,钟,选择题,4选1,一见钟情,钟,衷,忠,中,钟
1168,Z,衷,选择题,4选1,互诉衷情,衷,衷,忠,中,钟
1169,Z,衷,选择题,4选1,莫衷一是,衷,中,衷,忠,钟
1170,Z,衷,选择题,4选1,言不由衷,衷,衷,中,忠,钟
1171,Z,衷,选择题,4选1,衷心感谢,衷,中,衷,忠,钟
1172,Z,衷,选择题,4选1,莫衷一是,衷,衷,中,忠,钟
1177,Z,诛,选择题,4选1,口诛笔伐,诛,株,诛,珠,蛛
1178,Z,株,选择题,4选1,株连无辜,株,诛,株,珠,蛛
1184,Z,卓,选择题,4选1,远见卓识,卓,灼,卓,拙,绌
1185,Z,拙,选择题,4选1,弄巧成拙,拙,拙,绌,灼,茁
1188,Z,锱,选择题,4选1,锱铢必较,锱,淄,锱,缁,甾
